0,1.00,,,,,,,,,,,,,,,,,,,
0.008,0.87,,,,,,,,,,,,,,,,,,,
0.016,0.39,,,,,,,,,,,,,,,,,,,
0.024,0.17,,,,,,,,,,,,,,,,,,,
0.032,0.08,,,,,,,,,,,,,,,,,,,
0.04,0.04,,,,,,,,,,,,,,,,,,,
0.048,0.05,,,,,,,,,,,,,,,,,,,
0.056,0.07,,,,,,,,,,,,,,,,,,,
0.064,0.10,,,,,,,,,,,,,,,,,,,
0.072,0.23,,,,,,,,,,,,,,,,,,,
0.08,0.36,,,,,,,,,,,,,,,,,,,
0.088,0.41,,,,,,,,,,,,,,,,,,,
0.096,0.42,,,,,,,,,,,,,,,,,,,
0.104,0.42,,,,,,,,,,,,,,,,,,,
0.112,0.42,,,,,,,,,,,,,,,,,,,
0.12,0.42,,,,,,,,,,,,,,,,,,,
0.128,0.41,,,,,,,,,,,,,,,,,,,
0.136,0.41,,,,,,,,,,,,,,,,,,,
0.144,0.41,,,,,,,,,,,,,,,,,,,
0.152,0.39,,,,,,,,,,,,,,,,,,,
0.16,0.38,,,,,,,,,,,,,,,,,,,
0.168,0.37,,,,,,,,,,,,,,,,,,,
0.176,0.35,,,,,,,,,,,,,,,,,,,
0.184,0.34,,,,,,,,,,,,,,,,,,,
0.192,0.33,,,,,,,,,,,,,,,,,,,
0.2,0.32,,,,,,,,,,,,,,,,,,,
0.208,0.33,,,,,,,,,,,,,,,,,,,
0.216,0.32,,,,,,,,,,,,,,,,,,,
0.224,0.31,,,,,,,,,,,,,,,,,,,
0.232,0.31,,,,,,,,,,,,,,,,,,,
0.24,0.33,,,,,,,,,,,,,,,,,,,
0.248,0.34,,,,,,,,,,,,,,,,,,,
0.256,0.36,,,,,,,,,,,,,,,,,,,
0.264,0.38,,,,,,,,,,,,,,,,,,,
0.272,0.40,,,,,,,,,,,,,,,,,,,
0.28,0.42,,,,,,,,,,,,,,,,,,,
0.288,0.43,,,,,,,,,,,,,,,,,,,
0.296,0.44,,,,,,,,,,,,,,,,,,,
0.304,0.45,,,,,,,,,,,,,,,,,,,
0.312,0.45,,,,,,,,,,,,,,,,,,,
0.32,0.44,,,,,,,,,,,,,,,,,,,
0.328,0.44,,,,,,,,,,,,,,,,,,,
0.336,0.45,,,,,,,,,,,,,,,,,,,
0.344,0.44,,,,,,,,,,,,,,,,,,,
0.352,0.44,,,,,,,,,,,,,,,,,,,
0.36,0.44,,,,,,,,,,,,,,,,,,,
0.368,0.44,,,,,,,,,,,,,,,,,,,
0.376,0.44,,,,,,,,,,,,,,,,,,,
0.384,0.44,,,,,,,,,,,,,,,,,,,
0.392,0.43,,,,,,,,,,,,,,,,,,,
0.4,0.45,,,,,,,,,,,,,,,,,,,
0.408,0.44,,,,,,,,,,,,,,,,,,,
0.416,0.43,,,,,,,,,,,,,,,,,,,
0.424,0.44,,,,,,,,,,,,,,,,,,,
0.432,0.45,,,,,,,,,,,,,,,,,,,
0.44,0.44,,,,,,,,,,,,,,,,,,,
0.448,0.44,,,,,,,,,,,,,,,,,,,
0.456,0.44,,,,,,,,,,,,,,,,,,,
0.464,0.45,,,,,,,,,,,,,,,,,,,
0.472,0.45,,,,,,,,,,,,,,,,,,,
0.48,0.43,,,,,,,,,,,,,,,,,,,
0.488,0.44,,,,,,,,,,,,,,,,,,,
0.496,0.45,,,,,,,,,,,,,,,,,,,
0.504,0.45,,,,,,,,,,,,,,,,,,,
0.512,0.44,,,,,,,,,,,,,,,,,,,
0.52,0.44,,,,,,,,,,,,,,,,,,,
0.528,0.44,,,,,,,,,,,,,,,,,,,
0.536,0.45,,,,,,,,,,,,,,,,,,,
0.544,0.44,,,,,,,,,,,,,,,,,,,
0.552,0.45,,,,,,,,,,,,,,,,,,,
0.56,0.46,,,,,,,,,,,,,,,,,,,
0.568,0.45,,,,,,,,,,,,,,,,,,,
0.576,0.44,,,,,,,,,,,,,,,,,,,
0.584,0.43,,,,,,,,,,,,,,,,,,,
0.592,0.45,,,,,,,,,,,,,,,,,,,
0.6,0.45,,,,,,,,,,,,,,,,,,,
0.608,0.44,,,,,,,,,,,,,,,,,,,
0.616,0.43,,,,,,,,,,,,,,,,,,,
0.624,0.45,,,,,,,,,,,,,,,,,,,
0.632,0.45,,,,,,,,,,,,,,,,,,,
0.64,0.46,,,,,,,,,,,,,,,,,,,
0.648,0.47,,,,,,,,,,,,,,,,,,,
0.656,0.48,,,,,,,,,,,,,,,,,,,
0.664,0.51,,,,,,,,,,,,,,,,,,,
0.672,0.50,,,,,,,,,,,,,,,,,,,
0.68,0.48,,,,,,,,,,,,,,,,,,,
0.688,0.48,,,,,,,,,,,,,,,,,,,
0.696,0.49,,,,,,,,,,,,,,,,,,,
0.704,0.51,,,,,,,,,,,,,,,,,,,
0.712,0.48,,,,,,,,,,,,,,,,,,,
0.72,0.45,,,,,,,,,,,,,,,,,,,
0.728,0.44,,,,,,,,,,,,,,,,,,,
0.736,0.42,,,,,,,,,,,,,,,,,,,
0.744,0.42,,,,,,,,,,,,,,,,,,,
0.752,0.42,,,,,,,,,,,,,,,,,,,
0.76,0.40,,,,,,,,,,,,,,,,,,,
0.768,0.41,,,,,,,,,,,,,,,,,,,
0.776,0.41,,,,,,,,,,,,,,,,,,,
0.784,0.42,,,,,,,,,,,,,,,,,,,
0.792,0.42,,,,,,,,,,,,,,,,,,,
0.8,0.42,,,,,,,,,,,,,,,,,,,
0.808,0.41,,,,,,,,,,,,,,,,,,,
0.816,0.41,,,,,,,,,,,,,,,,,,,
0.824,0.44,,,,,,,,,,,,,,,,,,,
0.832,0.60,,,,,,,,,,,,,,,,,,,
0.84,0.75,,,,,,,,,,,,,,,,,,,
0.848,0.75,,,,,,,,,,,,,,,,,,,
0.856,0.82,,,,,,,,,,,,,,,,,,,
0.864,0.90,,,,,,,,,,,,,,,,,,,
0.872,0.55,,,,,,,,,,,,,,,,,,,
0.88,0.14,,,,,,,,,,,,,,,,,,,
0.888,0.05,,,,,,,,,,,,,,,,,,,
0.896,0.02,,,,,,,,,,,,,,,,,,,
0.904,0.00,,,,,,,,,,,,,,,,,,,
0.912,0.01,,,,,,,,,,,,,,,,,,,
0.92,0.05,,,,,,,,,,,,,,,,,,,
0.928,0.15,,,,,,,,,,,,,,,,,,,
0.936,0.29,,,,,,,,,,,,,,,,,,,
0.944,0.36,,,,,,,,,,,,,,,,,,,
0.952,0.36,,,,,,,,,,,,,,,,,,,
0.96,0.36,,,,,,,,,,,,,,,,,,,
0.968,0.37,,,,,,,,,,,,,,,,,,,
0.976,0.38,,,,,,,,,,,,,,,,,,,
0.984,0.38,,,,,,,,,,,,,,,,,,,
0.992,0.37,,,,,,,,,,,,,,,,,,,
1,0.36,,,,,,,,,,,,,,,,,,,
1.008,0.36,,,,,,,,,,,,,,,,,,,
1.016,0.95,,,,,,,,,,,,,,,,,,,
1.024,0.88,,,,,,,,,,,,,,,,,,,
1.032,0.21,,,,,,,,,,,,,,,,,,,
1.04,0.00,,,,,,,,,,,,,,,,,,,
1.048,0.11,,,,,,,,,,,,,,,,,,,
1.056,0.18,,,,,,,,,,,,,,,,,,,
1.064,0.13,,,,,,,,,,,,,,,,,,,
1.072,0.15,,,,,,,,,,,,,,,,,,,
1.08,0.24,,,,,,,,,,,,,,,,,,,
1.088,0.21,,,,,,,,,,,,,,,,,,,
1.096,0.18,,,,,,,,,,,,,,,,,,,
1.104,0.22,,,,,,,,,,,,,,,,,,,
1.112,0.28,,,,,,,,,,,,,,,,,,,
1.12,0.34,,,,,,,,,,,,,,,,,,,
1.128,0.35,,,,,,,,,,,,,,,,,,,
1.136,0.35,,,,,,,,,,,,,,,,,,,
1.144,0.36,,,,,,,,,,,,,,,,,,,
1.152,0.36,,,,,,,,,,,,,,,,,,,
1.16,0.34,,,,,,,,,,,,,,,,,,,
1.168,0.33,,,,,,,,,,,,,,,,,,,
1.176,0.36,,,,,,,,,,,,,,,,,,,
1.184,0.38,,,,,,,,,,,,,,,,,,,
1.192,0.35,,,,,,,,,,,,,,,,,,,
1.2,0.36,,,,,,,,,,,,,,,,,,,
1.208,0.38,,,,,,,,,,,,,,,,,,,
1.216,0.41,,,,,,,,,,,,,,,,,,,
1.224,0.42,,,,,,,,,,,,,,,,,,,
1.232,0.40,,,,,,,,,,,,,,,,,,,
1.24,0.43,,,,,,,,,,,,,,,,,,,
1.248,0.46,,,,,,,,,,,,,,,,,,,
1.256,0.48,,,,,,,,,,,,,,,,,,,
1.264,0.50,,,,,,,,,,,,,,,,,,,
1.272,0.53,,,,,,,,,,,,,,,,,,,
