Time,Signal
0.0,0.0
0.0025,0.46963394624356997
0.005,-0.7781152949374528
0.0075,1.0330873905690925
0.01,-0.8922779910659061
0.0125,0.7778174593052025
0.015,-0.22811529493745036
0.0175,-0.06733381262139217
0.02,0.6828909039219891
0.0225,-0.7922376901288541
0.025,1.1
0.0275,-0.7922376901288531
0.03,0.6828909039219846
0.0325,-0.06733381262139712
0.035,-0.22811529493744898
0.0375,0.777817459305204
0.04,-0.8922779910659068
0.0425,1.0330873905690923
0.045,-0.7781152949374526
0.0475,0.4696339462435705
0.05,-1.4585676522585269e-15
0.0525,-0.4696339462435742
0.055,0.778115294937455
0.0575,-1.0330873905690918
0.06,0.8922779910659033
0.0625,-0.7778174593052011
0.065,0.22811529493745852
0.0675,0.06733381262139422
0.07,-0.6828909039219823
0.0725,0.7922376901288599
0.075,-1.1
0.0775,0.7922376901288555
0.08,-0.6828909039219858
0.0825,0.06733381262139856
0.085,0.22811529493745436
0.08750000000000001,-0.777817459305198
0.09,0.8922779910659063
0.0925,-1.0330873905690914
0.095,0.7781152949374535
0.0975,-0.46963394624356547
0.1,2.9171353045170538e-15
0.10250000000000001,0.4696339462435603
0.105,-0.7781152949374583
0.1075,1.0330873905690927
0.11,-0.8922779910659038
0.1125,0.7778174593052021
0.115,-0.22811529493745994
0.11750000000000001,-0.06733381262139275
0.12,0.682890903922004
0.1225,-0.7922376901288593
0.125,1.1
0.1275,-0.7922376901288561
0.13,0.6828909039219985
0.1325,-0.06733381262138603
0.135,-0.22811529493745297
0.1375,0.7778174593051969
0.14,-0.8922779910659014
0.14250000000000002,1.033087390569096
0.145,-0.7781152949374376
0.1475,0.46963394624355426
0.15,9.835151758426422e-15
0.1525,-0.4696339462435714
0.155,0.7781152949374492
0.1575,-1.0330873905690947
0.16,0.8922779910659042
0.1625,-0.7778174593052032
0.165,0.22811529493746138
0.1675,0.06733381262137726
0.17,-0.6828909039219914
0.17250000000000001,0.7922376901288521
0.17500000000000002,-1.1
0.1775,0.7922376901288504
0.18,-0.6828909039219881
0.1825,0.06733381262137333
0.185,0.22811529493746507
0.1875,-0.777817459305206
0.19,0.8922779910659054
0.1925,-1.033087390569094
0.195,0.7781152949374468
0.1975,-0.4696339462435681
0.2,5.8342706090341076e-15
0.2025,0.46963394624355764
0.20500000000000002,-0.7781152949374398
0.20750000000000002,1.0330873905690923
0.21,-0.8922779910659002
0.2125,0.777817459305194
0.215,-0.22811529493744925
0.2175,-0.06733381262138992
0.22,0.6828909039220016
0.2225,-0.7922376901288579
0.225,1.1
0.2275,-0.7922376901288575
0.23,0.6828909039220008
0.2325,-0.06733381262138893
0.23500000000000001,-0.22811529493745022
0.23750000000000002,0.7778174593051947
0.24,-0.8922779910659181
0.2425,1.0330873905690878
0.245,-0.7781152949374394
0.2475,0.46963394624355687
0.25,6.9180164539093684e-15
0.2525,-0.46963394624356897
0.255,0.7781152949374474
0.2575,-1.0330873905690896
0.26,0.892277991065914
0.2625,-0.7778174593052253
0.265,0.22811529493743704
0.2675,0.06733381262140237
0.27,-0.6828909039219889
0.2725,0.7922376901288508
0.275,-1.1
0.2775,0.7922376901288646
0.28,-0.6828909039220136
0.28250000000000003,0.06733381262143247
0.28500000000000003,0.22811529493740823
0.28750000000000003,-0.7778174593051635
0.29,0.892277991065922
0.2925,-1.033087390569086
0.295,0.7781152949374316
0.2975,-0.4696339462435456
0.3,-1.9670303516852844e-14
0.3025,0.46963394624358035
0.305,-0.7781152949374551
0.3075,1.0330873905690916
0.31,-0.8922779910659101
0.3125,0.7778174593051761
0.315,-0.22811529493742494
0.3175,-0.0673338126214151
0.32,0.6828909039219992
0.3225,-0.7922376901288566
0.325,1.1
0.3275,-0.7922376901288588
0.33,0.6828909039220032
0.3325,-0.0673338126214199
0.335,-0.2281152949374204
0.3375,0.7778174593051725
0.34,-0.8922779910659083
0.3425,1.0330873905690925
0.34500000000000003,-0.7781152949374579
0.34750000000000003,0.46963394624358445
0.35000000000000003,-2.4776099648891745e-14
0.3525,-0.4696339462435913
0.355,0.7781152949374626
0.3575,-1.0330873905690936
0.36,0.8922779910659061
0.3625,-0.7778174593051671
0.365,0.22811529493741306
0.3675,0.0673338126214277
0.37,-0.6828909039220096
0.3725,0.7922376901288624
0.375,-1.1
0.3775,0.792237690128853
0.38,-0.682890903921993
0.3825,0.06733381262140728
0.385,0.2281152949374325
0.3875,-0.7778174593051818
0.39,0.8922779910659122
0.3925,-1.0330873905690905
0.395,0.7781152949374504
0.3975,-0.4696339462435732
0.4,1.1668541218068215e-14
